GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,block,Feedback,B_rate
211,96.0,0.2,3.0,0.0,1.0,0.0,0.0,5.0,59.0,0.5,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6000000000000083,1.7973119250772385,-22.0,-39.0,-60.5,0.0,1.0,-0.3956,-0.1852000000000001,-1.0,-0.4984,-0.485,0.0,-1.6000000000000083,-1.6000000000000083,-117.00000000000004,0.19799999999999351,1,0,0.431666667
211,96.0,0.2,3.0,0.0,1.0,0.0,0.0,5.0,59.0,0.5,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6000000000000083,1.7973119250772385,-22.0,-39.0,-60.5,0.0,1.0,-0.3956,-0.1852000000000001,-1.0,-0.4984,-0.485,0.0,-1.6000000000000083,-1.6000000000000083,-117.00000000000004,0.3075499999999902,2,1,0.435
211,96.0,0.2,3.0,0.0,1.0,0.0,0.0,5.0,59.0,0.5,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6000000000000083,1.7973119250772385,-22.0,-39.0,-60.5,0.0,1.0,-0.3956,-0.1852000000000001,-1.0,-0.4984,-0.485,0.0,-1.6000000000000083,-1.6000000000000083,-117.00000000000004,0.3639499999999846,3,1,0.40333333299999996
211,96.0,0.2,3.0,0.0,1.0,0.0,0.0,5.0,59.0,0.5,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6000000000000083,1.7973119250772385,-22.0,-39.0,-60.5,0.0,1.0,-0.3956,-0.1852000000000001,-1.0,-0.4984,-0.485,0.0,-1.6000000000000083,-1.6000000000000083,-117.00000000000004,0.3748999999999837,4,1,0.358333333
211,96.0,0.2,3.0,0.0,1.0,0.0,0.0,5.0,59.0,0.5,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6000000000000083,1.7973119250772385,-22.0,-39.0,-60.5,0.0,1.0,-0.3956,-0.1852000000000001,-1.0,-0.4984,-0.485,0.0,-1.6000000000000083,-1.6000000000000083,-117.00000000000004,0.3780499999999831,5,1,0.328333333
212,-9.0,1.0,-9.0,1.0,0.0,0.0,0.0,1.0,-6.0,0.99,-36.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.6999999999999966,3.3000000000000016,-27.0,7.0,0.0,0.25,-1.0,0.9422,0.9439,0.5070000000000001,0.0,0.0,0.0,2.6999999999999966,2.6999999999999966,-1.4210854715202004e-14,0.8379999999999377,1,0,0.75
212,-9.0,1.0,-9.0,1.0,0.0,0.0,0.0,1.0,-6.0,0.99,-36.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.6999999999999966,3.3000000000000016,-27.0,7.0,0.0,0.25,-1.0,0.9422,0.9439,0.5070000000000001,0.0,0.0,0.0,2.6999999999999966,2.6999999999999966,-1.4210854715202004e-14,0.8566499999999352,2,1,0.8683333329999999
212,-9.0,1.0,-9.0,1.0,0.0,0.0,0.0,1.0,-6.0,0.99,-36.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.6999999999999966,3.3000000000000016,-27.0,7.0,0.0,0.25,-1.0,0.9422,0.9439,0.5070000000000001,0.0,0.0,0.0,2.6999999999999966,2.6999999999999966,-1.4210854715202004e-14,0.8712499999999336,3,1,0.928333333
212,-9.0,1.0,-9.0,1.0,0.0,0.0,0.0,1.0,-6.0,0.99,-36.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.6999999999999966,3.3000000000000016,-27.0,7.0,0.0,0.25,-1.0,0.9422,0.9439,0.5070000000000001,0.0,0.0,0.0,2.6999999999999966,2.6999999999999966,-1.4210854715202004e-14,0.8734499999999332,4,1,0.926666667
212,-9.0,1.0,-9.0,1.0,0.0,0.0,0.0,1.0,-6.0,0.99,-36.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.6999999999999966,3.3000000000000016,-27.0,7.0,0.0,0.25,-1.0,0.9422,0.9439,0.5070000000000001,0.0,0.0,0.0,2.6999999999999966,2.6999999999999966,-1.4210854715202004e-14,0.8745499999999331,5,1,0.948333333
